team,tournament,confederation,cont_pld,cont_w,cont_d,cont_l,cont_gf,cont_ga,cont_pts,cont_ppg,reached_stage,reached_ordinal,is_wc2026
Argentina,2024 Copa America,CONMEBOL,3,3.0,0.0,0.0,5.0,0.0,9.0,3.0,Winner,5,True
Spain,Euro 2024,UEFA,3,3.0,0.0,0.0,5.0,0.0,9.0,3.0,Winner,5,True
Qatar,AFC Asian Cup 2023,AFC,7,6.0,1.0,0.0,14.0,5.0,19.0,2.714,Winner,5,True
Mexico,Gold Cup 2023,CONCACAF,3,2.0,0.0,1.0,7.0,2.0,6.0,2.0,Winner,5,True
Ivory Coast,AFCON 2023,CAF,7,4.0,1.0,2.0,8.0,8.0,13.0,1.857,Winner,5,True
Colombia,2024 Copa America,CONMEBOL,3,2.0,1.0,0.0,6.0,2.0,7.0,2.333,Final,4,True
Panama,Gold Cup 2023,CONCACAF,3,2.0,1.0,0.0,6.0,4.0,7.0,2.333,Final,4,True
Jordan,AFC Asian Cup 2023,AFC,7,4.0,1.0,2.0,13.0,8.0,13.0,1.857,Final,4,True
England,Euro 2024,UEFA,3,1.0,2.0,0.0,2.0,1.0,5.0,1.667,Final,4,True
Uruguay,2024 Copa America,CONMEBOL,3,3.0,0.0,0.0,9.0,1.0,9.0,3.0,Knockout,3,True
Germany,Euro 2024,UEFA,3,2.0,1.0,0.0,8.0,2.0,7.0,2.333,Knockout,3,True
United States,Gold Cup 2023,CONCACAF,3,2.0,1.0,0.0,13.0,1.0,7.0,2.333,Knockout,3,True
Panama,2024 Copa America,CONMEBOL,3,2.0,0.0,1.0,6.0,5.0,6.0,2.0,Knockout,3,True
Austria,Euro 2024,UEFA,3,2.0,0.0,1.0,6.0,4.0,6.0,2.0,Knockout,3,True
Brazil,2024 Copa America,CONMEBOL,3,1.0,2.0,0.0,5.0,2.0,5.0,1.667,Knockout,3,True
Switzerland,Euro 2024,UEFA,3,1.0,2.0,0.0,5.0,3.0,5.0,1.667,Knockout,3,True
France,Euro 2024,UEFA,3,1.0,2.0,0.0,2.0,1.0,5.0,1.667,Knockout,3,True
Canada,Gold Cup 2023,CONCACAF,3,1.0,2.0,0.0,6.0,4.0,5.0,1.667,Knockout,3,True
Canada,2024 Copa America,CONMEBOL,3,1.0,1.0,1.0,1.0,2.0,4.0,1.333,Knockout,3,True
Ecuador,2024 Copa America,CONMEBOL,3,1.0,1.0,1.0,4.0,3.0,4.0,1.333,Knockout,3,True
Netherlands,Euro 2024,UEFA,3,1.0,1.0,1.0,4.0,4.0,4.0,1.333,Knockout,3,True
Belgium,Euro 2024,UEFA,3,1.0,1.0,1.0,2.0,1.0,4.0,1.333,Knockout,3,True
Qatar,Gold Cup 2023,CONCACAF,3,1.0,1.0,1.0,3.0,3.0,4.0,1.333,Knockout,3,True
Portugal,Euro 2024,UEFA,3,2.0,0.0,1.0,5.0,3.0,,,Knockout,3,True
Turkey,Euro 2024,UEFA,3,2.0,0.0,1.0,5.0,5.0,,,Knockout,3,True
Australia,AFC Asian Cup 2023,AFC,5,3.0,1.0,1.0,9.0,3.0,,,Knockout,3,True
Uzbekistan,AFC Asian Cup 2023,AFC,5,2.0,3.0,0.0,7.0,3.0,,,Knockout,3,True
Iraq,AFC Asian Cup 2023,AFC,4,3.0,0.0,1.0,10.0,7.0,,,Knockout,3,True
Japan,AFC Asian Cup 2023,AFC,5,3.0,0.0,2.0,12.0,8.0,,,Knockout,3,True
Saudi Arabia,AFC Asian Cup 2023,AFC,4,2.0,2.0,0.0,5.0,2.0,,,Knockout,3,True
