rank,team,country_code,points,previous_points,confederation,rank_date,source
1.0,Argentina,ARG,1860.14,1858.0,CONMEBOL,2024-06-20,kaggle_cashncarry
2.0,France,FRA,1837.47,1840.59,UEFA,2024-06-20,kaggle_cashncarry
3.0,Belgium,BEL,1797.98,1795.23,UEFA,2024-06-20,kaggle_cashncarry
4.0,Brazil,BRA,1791.85,1788.65,CONMEBOL,2024-06-20,kaggle_cashncarry
5.0,England,ENG,1787.88,1794.9,UEFA,2024-06-20,kaggle_cashncarry
6.0,Portugal,POR,1747.04,1748.11,UEFA,2024-06-20,kaggle_cashncarry
7.0,Netherlands,NED,1746.66,1742.29,UEFA,2024-06-20,kaggle_cashncarry
8.0,Spain,ESP,1729.92,1727.5,UEFA,2024-06-20,kaggle_cashncarry
9.0,Croatia,CRO,1728.3,1721.07,UEFA,2024-06-20,kaggle_cashncarry
10.0,Italy,ITA,1724.37,1724.6,UEFA,2024-06-20,kaggle_cashncarry
11.0,USA,USA,1676.52,1681.13,CONCACAF,2024-06-20,kaggle_cashncarry
12.0,Colombia,COL,1669.44,1664.28,CONMEBOL,2024-06-20,kaggle_cashncarry
12.0,Morocco,MAR,1669.44,1661.42,CAF,2024-06-20,kaggle_cashncarry
14.0,Uruguay,URU,1663.44,1659.39,CONMEBOL,2024-06-20,kaggle_cashncarry
15.0,Mexico,MEX,1652.33,1661.11,CONCACAF,2024-06-20,kaggle_cashncarry
16.0,Germany,GER,1646.78,1644.21,UEFA,2024-06-20,kaggle_cashncarry
17.0,Japan,JPN,1628.81,1621.88,AFC,2024-06-20,kaggle_cashncarry
18.0,Senegal,SEN,1623.34,1624.73,CAF,2024-06-20,kaggle_cashncarry
19.0,Switzerland,SUI,1617.24,1616.41,UEFA,2024-06-20,kaggle_cashncarry
20.0,IR Iran,IRN,1611.16,1613.96,AFC,2024-06-20,kaggle_cashncarry
21.0,Denmark,DEN,1610.76,1602.72,UEFA,2024-06-20,kaggle_cashncarry
22.0,Korea Republic,KOR,1572.87,1563.99,AFC,2024-06-20,kaggle_cashncarry
23.0,Australia,AUS,1571.29,1563.93,AFC,2024-06-20,kaggle_cashncarry
24.0,Ukraine,UKR,1565.37,1568.86,UEFA,2024-06-20,kaggle_cashncarry
25.0,Austria,AUT,1560.03,1554.86,UEFA,2024-06-20,kaggle_cashncarry
26.0,Poland,POL,1541.49,1531.49,UEFA,2024-06-20,kaggle_cashncarry
27.0,Hungary,HUN,1529.0,1532.2,UEFA,2024-06-20,kaggle_cashncarry
28.0,Sweden,SWE,1522.19,1531.68,UEFA,2024-06-20,kaggle_cashncarry
29.0,Wales,WAL,1521.4,1531.38,UEFA,2024-06-20,kaggle_cashncarry
30.0,Ecuador,ECU,1517.54,1518.22,CONMEBOL,2024-06-20,kaggle_cashncarry
31.0,Peru,PER,1515.01,1515.82,CONMEBOL,2024-06-20,kaggle_cashncarry
32.0,Serbia,SRB,1514.76,1514.2,UEFA,2024-06-20,kaggle_cashncarry
33.0,Russia,RUS,1506.58,1504.02,UEFA,2024-06-20,kaggle_cashncarry
34.0,Czechia,CZE,1506.23,1501.47,UEFA,2024-06-20,kaggle_cashncarry
35.0,Qatar,QAT,1504.06,1507.94,AFC,2024-06-20,kaggle_cashncarry
36.0,Egypt,EGY,1502.34,1499.72,CAF,2024-06-20,kaggle_cashncarry
37.0,Côte d'Ivoire,CIV,1499.69,1498.8,CAF,2024-06-20,kaggle_cashncarry
38.0,Nigeria,NGA,1498.93,1520.27,CAF,2024-06-20,kaggle_cashncarry
39.0,Scotland,SCO,1497.18,1497.46,UEFA,2024-06-20,kaggle_cashncarry
40.0,Chile,CHI,1496.13,1491.71,CONMEBOL,2024-06-20,kaggle_cashncarry
41.0,Tunisia,TUN,1494.06,1493.12,CAF,2024-06-20,kaggle_cashncarry
42.0,Turkey,TUR,1493.38,1495.94,UEFA,2024-06-20,kaggle_cashncarry
43.0,Panama,PAN,1482.1,1475.62,CONCACAF,2024-06-20,kaggle_cashncarry
44.0,Algeria,ALG,1474.13,1482.71,CAF,2024-06-20,kaggle_cashncarry
45.0,Slovakia,SVK,1467.77,1461.55,UEFA,2024-06-20,kaggle_cashncarry
46.0,Norway,NOR,1466.48,1467.51,UEFA,2024-06-20,kaggle_cashncarry
47.0,Romania,ROU,1462.35,1468.17,UEFA,2024-06-20,kaggle_cashncarry
48.0,Canada,CAN,1461.74,1461.16,CONCACAF,2024-06-20,kaggle_cashncarry
49.0,Cameroon,CMR,1458.47,1452.59,CAF,2024-06-20,kaggle_cashncarry
50.0,Mali,MLI,1456.74,1477.9,CAF,2024-06-20,kaggle_cashncarry
51.0,Greece,GRE,1455.95,1457.89,UEFA,2024-06-20,kaggle_cashncarry
52.0,Costa Rica,CRC,1454.2,1445.38,CONCACAF,2024-06-20,kaggle_cashncarry
53.0,Jamaica,JAM,1442.82,1435.33,CONCACAF,2024-06-20,kaggle_cashncarry
54.0,Venezuela,VEN,1442.29,1442.29,CONMEBOL,2024-06-20,kaggle_cashncarry
55.0,Iraq,IRQ,1433.07,1420.47,AFC,2024-06-20,kaggle_cashncarry
56.0,Saudi Arabia,KSA,1431.3,1443.53,AFC,2024-06-20,kaggle_cashncarry
57.0,Slovenia,SVN,1429.74,1427.84,UEFA,2024-06-20,kaggle_cashncarry
58.0,Paraguay,PAR,1427.11,1430.73,CONMEBOL,2024-06-20,kaggle_cashncarry
59.0,South Africa,RSA,1416.66,1407.67,CAF,2024-06-20,kaggle_cashncarry
60.0,Republic of Ireland,IRL,1403.84,1399.74,UEFA,2024-06-20,kaggle_cashncarry
61.0,Congo DR,COD,1400.93,1388.25,CAF,2024-06-20,kaggle_cashncarry
62.0,Uzbekistan,UZB,1397.41,1386.58,AFC,2024-06-20,kaggle_cashncarry
63.0,Finland,FIN,1393.4,1394.44,UEFA,2024-06-20,kaggle_cashncarry
64.0,Ghana,GHA,1381.25,1358.77,CAF,2024-06-20,kaggle_cashncarry
65.0,Cabo Verde,CPV,1380.53,1383.44,CAF,2024-06-20,kaggle_cashncarry
66.0,Albania,ALB,1379.4,1375.1,UEFA,2024-06-20,kaggle_cashncarry
67.0,Burkina Faso,BFA,1375.16,1390.38,CAF,2024-06-20,kaggle_cashncarry
68.0,Jordan,JOR,1374.13,1350.21,AFC,2024-06-20,kaggle_cashncarry
69.0,United Arab Emirates,UAE,1368.84,1366.45,AFC,2024-06-20,kaggle_cashncarry
