team,manager,appointment_year,appointment_team,tenure_years_at_wc
Algeria,Vladimir Petković,2024.0,Algeria,2.4
Argentina,Lionel Scaloni,2018.0,Argentina,8.4
,,,,
Austria,Ralf Rangnick,2022.0,Austria,4.4
Belgium,Rudi Garcia,2025.0,Belgium,1.4
Bosnia and Herzegovina,Sergej Barbarez,2024.0,Bosnia and Herzegovina,2.4
Brazil,Carlo Ancelotti,2025.0,Brazil,1.4
Cabo Verde,Bubista,2020.0,Cape Verde,6.4
,,,,
Colombia,Néstor Lorenzo,2022.0,Colombia,4.4
Congo DR,Sébastien Desabre,2022.0,DR Congo,4.4
Croatia,Zlatko Dalić,2017.0,Croatia,9.4
Curaçao,Dick Advocaat,2026.0,Curaçao,0.4
Czechia,Miroslav Koubek,2025.0,Czech Republic,1.4
Côte d'Ivoire,Emerse Faé,2024.0,Ivory Coast,2.4
Ecuador,Sebastián Beccacece,2024.0,Ecuador,2.4
Egypt,Hossam Hassan,2024.0,Egypt,2.4
England,Thomas Tuchel,2025.0,England,1.4
France,Didier Deschamps,2012.0,France,14.4
Germany,Julian Nagelsmann,2023.0,Germany,3.4
Ghana,Carlos Queiroz,2026.0,Ghana,0.4
Haiti,Sébastien Migné,2024.0,Haiti,2.4
IR Iran,Amir Ghalenoei,2023.0,Iran,3.4
Iraq,Graham Arnold,2025.0,Iraq,1.4
Japan,Hajime Moriyasu,2018.0,Japan,8.4
Jordan,Jamal Sellami,2024.0,Jordan,2.4
Korea Republic,Hong Myung-bo,2024.0,South Korea,2.4
Mexico,Javier Aguirre,2024.0,Mexico,2.4
Morocco,Mohamed Ouahbi,2026.0,Morocco,0.4
Netherlands,Ronald Koeman,2023.0,Netherlands,3.4
,,,,
Norway,Ståle Solbakken,2020.0,Norway,6.4
Panama,Thomas Christiansen,2020.0,Panama,6.4
Paraguay,Gustavo Alfaro,2024.0,Paraguay,2.4
Portugal,Roberto Martínez,2023.0,Portugal,3.4
Qatar,Julen Lopetegui,2025.0,Qatar,1.4
Saudi Arabia,Georgios Donis,2026.0,Saudi Arabia,0.4
Scotland,Steve Clarke,2019.0,Scotland,7.4
Senegal,Pape Thiaw,2024.0,Senegal,2.4
South Africa,Hugo Broos,2021.0,South Africa,5.4
Spain,Luis de la Fuente,,,
,,,,
Switzerland,Murat Yakin,2021.0,Switzerland,5.4
Tunisia,Sabri Lamouchi,2026.0,Tunisia,0.4
Türkiye,Vincenzo Montella,2023.0,Turkey,3.4
USA,Mauricio Pochettino,2024.0,United States,2.4
Uruguay,Marcelo Bielsa,2023.0,Uruguay,3.4
Uzbekistan,Fabio Cannavaro,2025.0,Uzbekistan,1.4
