team,squad_size,mean_age,median_age,mean_caps,median_caps,total_goals,mean_goals,mean_club_quality,max_club_quality,n_elite_club_players,n_strong_club_players
Algeria,26,26.46153846153846,26.0,27.653846153846153,15.5,115,4.423076923076923,2.3846153846153846,5,2,2
Argentina,26,28.615384615384617,28.0,47.07692307692308,42.0,218,8.384615384615385,3.0384615384615383,5,6,2
Australia,26,26.884615384615383,26.5,27.423076923076923,13.5,73,2.8076923076923075,2.076923076923077,4,0,1
Austria,25,28.2,28.0,39.76,32.0,148,5.92,2.92,5,5,4
Belgium,26,27.115384615384617,25.5,40.26923076923077,27.5,207,7.961538461538462,3.230769230769231,5,7,5
Bosnia and Herzegovina,26,25.923076923076923,27.0,21.96153846153846,14.0,92,3.5384615384615383,2.269230769230769,5,1,2
Brazil,26,28.653846153846153,28.5,34.57692307692308,22.0,150,5.769230769230769,3.3846153846153846,5,10,1
Canada,25,26.6,26.0,36.96,31.0,130,5.2,2.6,5,2,2
Cape Verde,26,29.23076923076923,29.0,29.46153846153846,23.0,68,2.6153846153846154,2.1923076923076925,5,1,1
Colombia,26,29.576923076923077,29.0,39.23076923076923,33.5,106,4.076923076923077,2.5384615384615383,5,2,1
Croatia,26,27.884615384615383,28.0,43.11538461538461,18.5,151,5.8076923076923075,2.8846153846153846,5,5,4
Curaçao,26,27.53846153846154,26.5,22.923076923076923,19.0,69,2.6538461538461537,2.076923076923077,4,0,1
Czech Republic,26,27.23076923076923,27.0,27.0,21.5,95,3.6538461538461537,2.230769230769231,4,0,3
DR Congo,26,28.5,29.0,29.307692307692307,25.5,81,3.1153846153846154,2.1153846153846154,4,0,1
Ecuador,26,25.576923076923077,25.0,28.846153846153847,20.5,92,3.5384615384615383,2.5,5,3,0
Egypt,26,28.692307692307693,28.5,30.807692307692307,22.5,125,4.8076923076923075,2.3461538461538463,5,3,0
England,26,26.615384615384617,25.5,30.73076923076923,16.5,145,5.576923076923077,4.153846153846154,5,14,7
France,26,26.576923076923077,27.0,29.346153846153847,29.0,96,3.6923076923076925,3.923076923076923,5,16,1
Germany,26,27.53846153846154,27.5,31.807692307692307,12.0,103,3.9615384615384617,3.923076923076923,5,14,4
Ghana,26,26.423076923076923,26.5,20.807692307692307,10.0,65,2.5,2.269230769230769,5,1,2
Haiti,26,27.076923076923077,26.5,22.53846153846154,14.0,110,4.230769230769231,2.0384615384615383,3,0,0
Iran,26,29.807692307692307,31.0,44.19230769230769,32.5,148,5.6923076923076925,2.0,2,0,0
Iraq,26,26.653846153846153,25.5,30.653846153846153,24.0,88,3.3846153846153846,2.0,2,0,0
Ivory Coast,26,25.346153846153847,25.0,26.23076923076923,20.0,81,3.1153846153846154,2.769230769230769,5,4,4
Japan,26,27.192307692307693,27.0,32.88461538461539,24.5,109,4.1923076923076925,2.730769230769231,5,4,3
Jordan,26,28.076923076923077,28.5,40.30769230769231,34.0,93,3.576923076923077,2.0,2,0,0
Mexico,26,27.5,28.0,45.96153846153846,38.5,114,4.384615384615385,2.076923076923077,3,0,0
Morocco,26,25.923076923076923,25.5,28.384615384615383,20.0,85,3.269230769230769,2.6538461538461537,5,4,2
Netherlands,26,27.26923076923077,27.0,31.846153846153847,24.0,151,5.8076923076923075,4.0,5,13,6
New Zealand,26,27.615384615384617,27.0,30.76923076923077,25.5,109,4.1923076923076925,2.076923076923077,4,0,1
Norway,26,26.346153846153847,26.5,30.03846153846154,25.0,120,4.615384615384615,2.769230769230769,5,5,2
Panama,26,30.0,29.5,57.84615384615385,54.0,123,4.730769230769231,2.0,2,0,0
Paraguay,26,28.53846153846154,29.0,25.692307692307693,20.5,49,1.8846153846153846,2.3461538461538463,4,0,2
Portugal,26,27.53846153846154,26.5,43.03846153846154,33.0,255,9.807692307692308,4.0,5,14,5
Qatar,26,28.923076923076923,29.0,53.73076923076923,42.5,208,8.0,2.0,2,0,0
Saudi Arabia,26,27.96153846153846,26.5,33.0,24.5,90,3.4615384615384617,2.0,2,0,0
Scotland,26,28.73076923076923,29.0,36.61538461538461,26.0,94,3.6153846153846154,2.5,5,3,1
Senegal,26,26.615384615384617,26.0,37.11538461538461,29.0,131,5.038461538461538,2.6538461538461537,5,5,1
South Africa,26,26.346153846153847,25.5,17.846153846153847,11.0,61,2.3461538461538463,2.0,2,0,0
South Korea,26,27.46153846153846,28.0,36.03846153846154,23.5,142,5.461538461538462,2.3076923076923075,5,2,1
Spain,26,26.192307692307693,26.5,27.23076923076923,24.0,114,4.384615384615385,3.8846153846153846,5,15,2
Sweden,26,27.0,27.0,19.153846153846153,12.0,63,2.423076923076923,2.8461538461538463,5,4,5
Switzerland,26,27.807692307692307,28.5,42.73076923076923,27.5,123,4.730769230769231,2.3846153846153846,5,2,2
Tunisia,26,26.153846153846153,26.5,21.76923076923077,15.5,43,1.6538461538461537,2.1153846153846154,5,1,0
Turkey,26,27.23076923076923,27.0,36.57692307692308,30.5,95,3.6538461538461537,2.8846153846153846,5,7,1
United States,26,26.423076923076923,26.5,36.19230769230769,36.0,124,4.769230769230769,2.423076923076923,5,1,4
Uruguay,26,28.192307692307693,27.0,35.88461538461539,30.0,74,2.8461538461538463,3.0,5,5,2
Uzbekistan,26,27.96153846153846,28.5,34.19230769230769,30.5,126,4.846153846153846,2.1153846153846154,5,1,0
