team,venue_id,venue_name,distance_km,timezone_delta,travel_fatigue_index,altitude_delta_m,eastward_penalty
Algeria,1,Atlanta Stadium,7645.96,-6,53.652,290.0,0
Algeria,2,BC Place Vancouver,9080.56,-8,72.912,11.0,0
Algeria,3,Boston Stadium,6207.19,-5,43.668,83.0,0
Algeria,4,Dallas Stadium,8665.49,-6,54.403,149.0,0
Algeria,5,Guadalajara Stadium,10010.35,-7,64.48,1566.0,0
Algeria,6,Houston Stadium,8764.89,-6,54.472,15.0,0
Algeria,7,Kansas City Stadium,8097.78,-6,53.997,273.0,0
Algeria,8,Los Angeles Stadium,10056.57,-8,73.729,247.0,0
Algeria,9,Mexico City Stadium,9766.13,-7,64.307,2287.0,0
Algeria,10,Miami Stadium,7762.77,-5,44.786,12.0,0
Algeria,11,Monterrey Stadium,9417.41,-7,64.053,549.0,0
Algeria,12,New York/New Jersey Stadium,6477.7,-5,43.881,9.0,0
Algeria,13,Philadelphia Stadium,6603.48,-5,43.978,1.0,0
Algeria,14,San Francisco Bay Area Stadium,10019.38,-8,73.699,1.0,0
Algeria,15,Seattle Stadium,9184.0,-8,73.003,3.0,0
Algeria,16,Toronto Stadium,6753.61,-5,44.09,85.0,0
Argentina,1,Atlanta Stadium,8071.65,-2,17.992,290.0,0
Argentina,2,BC Place Vancouver,11297.94,-4,37.33,11.0,0
Argentina,3,Boston Stadium,8628.53,-1,9.063,83.0,0
Argentina,4,Dallas Stadium,8495.97,-2,18.095,149.0,0
Argentina,5,Guadalajara Stadium,7767.96,-3,26.874,1566.0,0
Argentina,6,Houston Stadium,8135.5,-2,18.008,15.0,0
Argentina,7,Kansas City Stadium,8992.13,-2,18.208,273.0,0
Argentina,8,Los Angeles Stadium,9855.57,-4,36.784,247.0,0
Argentina,9,Mexico City Stadium,7381.56,-3,26.721,2287.0,0
Argentina,10,Miami Stadium,7096.88,-1,8.868,12.0,0
Argentina,11,Monterrey Stadium,8029.86,-3,26.973,549.0,0
Argentina,12,New York/New Jersey Stadium,8538.41,-1,9.052,9.0,0
Argentina,13,Philadelphia Stadium,8466.92,-1,9.044,1.0,0
Argentina,14,San Francisco Bay Area Stadium,10352.39,-4,36.98,1.0,0
Argentina,15,Seattle Stadium,11131.4,-4,37.27,3.0,0
Argentina,16,Toronto Stadium,8956.95,-1,9.1,85.0,0
Australia,1,Atlanta Stadium,15169.94,-16,154.034,290.0,0
Australia,2,BC Place Vancouver,12747.27,-18,170.157,11.0,0
Australia,3,Boston Stadium,16462.61,-15,145.634,83.0,0
Australia,4,Dallas Stadium,14052.33,-16,152.81,149.0,0
Australia,5,Guadalajara Stadium,12866.9,-17,160.862,1566.0,0
Australia,6,Houston Stadium,14035.11,-16,152.79,15.0,0
Australia,7,Kansas City Stadium,14478.9,-16,153.288,273.0,0
Australia,8,Los Angeles Stadium,12327.68,-18,169.554,247.0,0
Australia,9,Mexico City Stadium,13168.49,-17,161.256,2287.0,0
Australia,10,Miami Stadium,15224.61,-15,144.461,12.0,0
Australia,11,Monterrey Stadium,13407.83,-17,161.562,549.0,0
Australia,12,New York/New Jersey Stadium,16221.04,-15,145.412,9.0,0
Australia,13,Philadelphia Stadium,16116.83,-15,145.315,1.0,0
Australia,14,San Francisco Bay Area Stadium,12206.85,-18,169.377,1.0,0
Australia,15,Seattle Stadium,12716.19,-18,170.113,3.0,0
Australia,16,Toronto Stadium,15807.0,-15,145.024,85.0,0
Austria,1,Atlanta Stadium,7992.93,-7,62.905,290.0,0
Austria,2,BC Place Vancouver,8499.46,-9,81.431,11.0,0
Austria,3,Boston Stadium,6522.49,-6,52.699,83.0,0
Austria,4,Dallas Stadium,8831.6,-7,63.603,149.0,0
Austria,5,Guadalajara Stadium,10299.84,-8,73.92,1566.0,0
Austria,6,Houston Stadium,9020.14,-7,63.751,15.0,0
Austria,7,Kansas City Stadium,8163.47,-7,63.053,273.0,0
Austria,8,Los Angeles Stadium,9804.51,-9,82.716,247.0,0
Austria,9,Mexico City Stadium,10164.01,-8,73.814,2287.0,0
Austria,10,Miami Stadium,8360.16,-6,54.188,12.0,0
Austria,11,Monterrey Stadium,9665.82,-8,73.412,549.0,0
Austria,12,New York/New Jersey Stadium,6793.45,-6,52.943,9.0,0
Austria,13,Philadelphia Stadium,6928.42,-6,53.061,1.0,0
Austria,14,San Francisco Bay Area Stadium,9642.04,-9,82.566,1.0,0
Austria,15,Seattle Stadium,8641.13,-9,81.58,3.0,0
Austria,16,Toronto Stadium,6920.58,-6,53.054,85.0,0
Belgium,1,Atlanta Stadium,7086.5,-6,53.197,290.0,0
