venue_id,venue_name,venue_city,date,temp_max_c,temp_min_c,rel_humidity_pct,precip_mm,wind_max_kmh,wbgt_approx,heat_stress_flag,venue_altitude_m
1,Atlanta Stadium,Atlanta,2026-06-11,27.5,21.1,75,8.34,14.5,25.44,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-12,27.1,22.1,87,20.67,9.8,26.04,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-13,28.3,21.5,87,10.61,10.0,27.2,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-14,28.4,20.4,82,0.83,7.9,26.87,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-15,26.4,20.0,82,4.7,12.9,24.97,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-16,25.2,18.9,88,2.96,17.9,24.29,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-17,28.3,20.3,86,0.84,14.8,27.11,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-18,30.6,21.0,82,0.56,10.0,28.95,1,290.0
1,Atlanta Stadium,Atlanta,2026-06-19,29.0,21.7,83,11.92,10.5,27.52,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-20,24.2,18.6,90,4.71,26.6,23.47,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-21,26.8,14.1,65,0.0,19.5,23.99,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-22,28.6,14.7,56,0.0,13.4,24.82,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-23,30.1,18.0,63,0.0,10.3,26.76,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-24,31.3,18.6,60,0.0,10.3,27.54,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-25,34.7,20.4,59,0.0,11.3,30.43,1,290.0
1,Atlanta Stadium,Atlanta,2026-06-26,36.8,23.2,55,1.64,10.3,31.83,1,290.0
1,Atlanta Stadium,Atlanta,2026-06-27,36.1,23.3,65,0.0,13.7,32.31,1,290.0
1,Atlanta Stadium,Atlanta,2026-06-28,31.7,23.4,69,2.83,16.1,28.75,1,290.0
1,Atlanta Stadium,Atlanta,2026-06-29,28.0,22.7,89,5.88,11.6,27.08,0,290.0
1,Atlanta Stadium,Atlanta,2026-06-30,32.4,23.2,84,0.89,10.0,30.84,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-01,33.8,23.6,73,9.3,11.9,31.06,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-02,30.2,23.8,92,11.82,9.2,29.48,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-03,27.1,23.4,94,22.12,6.1,26.61,0,290.0
1,Atlanta Stadium,Atlanta,2026-07-04,27.7,23.4,92,10.18,6.9,27.04,0,290.0
1,Atlanta Stadium,Atlanta,2026-07-05,27.2,23.0,92,6.9,10.0,26.55,0,290.0
1,Atlanta Stadium,Atlanta,2026-07-06,30.2,22.4,85,0.1,11.3,28.84,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-07,31.9,22.1,77,0.0,9.0,29.7,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-08,33.9,22.8,66,0.0,8.7,30.44,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-09,33.7,23.9,66,1.51,10.3,30.26,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-10,30.0,23.1,69,3.23,12.9,27.21,0,290.0
1,Atlanta Stadium,Atlanta,2026-07-11,34.3,23.2,74,0.1,10.5,31.62,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-12,32.2,21.8,60,0.0,14.5,28.34,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-13,33.3,19.9,56,0.0,11.6,28.9,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-14,34.2,22.5,59,0.61,11.6,29.99,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-15,35.2,23.1,54,0.51,9.5,30.34,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-16,38.5,24.2,48,0.1,10.5,32.49,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-17,40.4,25.9,42,0.0,10.8,33.37,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-18,41.0,27.6,43,0.31,12.8,33.99,1,290.0
1,Atlanta Stadium,Atlanta,2026-07-19,34.7,26.9,60,5.64,13.9,30.54,1,290.0
2,BC Place Vancouver,Vancouver,2026-06-11,22.7,13.9,72,0.08,9.9,20.79,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-12,18.6,11.1,77,0.08,9.0,17.32,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-13,18.6,10.5,77,0.0,8.5,17.32,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-14,18.3,12.2,88,2.88,7.2,17.64,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-15,19.1,10.2,87,1.02,5.8,18.36,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-16,19.7,11.3,80,0.08,6.7,18.52,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-17,19.3,12.4,89,8.25,8.5,18.66,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-18,11.6,9.4,95,10.22,8.1,11.43,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-19,12.4,9.7,95,3.41,4.9,12.21,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-20,18.2,12.0,91,2.05,4.9,17.71,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-21,21.5,11.4,73,0.0,11.2,19.76,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-22,23.4,13.5,67,0.0,10.3,21.08,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-23,22.6,13.5,78,0.6,9.4,21.11,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-24,20.9,12.8,71,0.0,9.9,19.08,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-25,20.2,14.4,86,31.94,9.9,19.35,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-26,15.7,14.8,94,10.81,10.8,15.42,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-27,18.8,12.8,81,0.95,12.1,17.73,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-28,19.9,9.4,68,0.0,13.0,17.99,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-29,22.6,11.8,64,0.0,10.3,20.16,0,11.0
2,BC Place Vancouver,Vancouver,2026-06-30,24.4,13.2,57,0.0,9.4,21.25,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-01,25.8,15.3,71,0.0,9.9,23.56,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-02,25.6,15.1,69,0.0,10.3,23.22,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-03,23.8,10.9,72,0.0,11.7,21.8,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-04,20.0,13.5,85,2.47,10.8,19.1,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-05,22.5,13.1,75,0.0,10.3,20.81,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-06,22.6,14.7,72,0.0,11.2,20.7,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-07,23.9,16.9,84,0.8,9.9,22.75,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-08,26.2,16.7,73,0.0,10.8,24.08,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-09,25.9,16.9,72,0.0,9.9,23.72,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-10,23.4,15.5,70,0.0,8.1,21.29,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-11,21.5,14.3,81,0.54,8.1,20.27,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-12,22.6,13.1,66,0.0,10.3,20.29,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-13,21.6,14.1,84,2.54,7.2,20.56,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-14,16.7,14.1,94,11.9,6.3,16.4,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-15,21.3,13.8,84,0.91,8.1,20.28,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-16,26.1,14.5,61,0.0,11.7,23.05,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-17,28.9,17.8,56,0.0,10.8,25.09,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-18,28.0,17.8,65,0.0,9.0,25.06,0,11.0
2,BC Place Vancouver,Vancouver,2026-07-19,28.1,18.5,69,0.0,9.0,25.49,0,11.0
3,Boston Stadium,Foxborough,2026-06-11,28.0,17.1,86,6.66,15.2,26.82,0,83.0
3,Boston Stadium,Foxborough,2026-06-12,29.9,21.1,69,0.0,13.7,27.12,0,83.0
3,Boston Stadium,Foxborough,2026-06-13,24.1,14.5,60,0.0,9.5,21.21,0,83.0
3,Boston Stadium,Foxborough,2026-06-14,20.2,13.2,67,0.0,10.1,18.2,0,83.0
3,Boston Stadium,Foxborough,2026-06-15,26.1,8.1,70,0.0,14.9,23.75,0,83.0
3,Boston Stadium,Foxborough,2026-06-16,28.2,13.2,62,0.0,17.1,24.99,0,83.0
3,Boston Stadium,Foxborough,2026-06-17,28.6,14.1,58,0.0,13.9,25.0,0,83.0
3,Boston Stadium,Foxborough,2026-06-18,30.1,17.0,77,3.01,16.7,28.02,1,83.0
