league,season,date,home,away,fthg,ftag,ftr,b365_open_h,b365_open_d,b365_open_a,b365_close_h,b365_close_d,b365_close_a,pin_open_h,pin_open_d,pin_open_a,pin_close_h,pin_close_d,pin_close_a,max_h,max_d,max_a,avg_h,avg_d,avg_a,b365_over25,b365_under25,source
EPL,2022-23,05/08/2022,Crystal Palace,Arsenal,0,2,A,4.2,3.6,1.85,4.5,3.6,1.8,4.5,3.65,1.89,4.58,3.63,1.88,4.6,3.78,1.95,4.39,3.59,1.88,2.1,1.72,football-data.co.uk
EPL,2022-23,06/08/2022,Fulham,Liverpool,2,2,D,11.0,6.0,1.25,11.0,5.75,1.28,11.2,6.22,1.28,10.5,6.5,1.29,13.0,6.4,1.31,10.99,6.05,1.28,1.5,2.62,football-data.co.uk
EPL,2022-23,06/08/2022,Bournemouth,Aston Villa,2,0,H,3.75,3.5,2.0,4.0,3.5,1.95,3.93,3.58,2.04,4.09,3.59,2.0,4.0,3.66,2.1,3.8,3.5,2.04,2.0,1.8,football-data.co.uk
EPL,2022-23,06/08/2022,Leeds,Wolves,2,1,H,2.25,3.4,3.2,2.37,3.3,3.0,2.39,3.33,3.3,2.45,3.44,3.09,2.42,3.54,3.3,2.34,3.34,3.18,2.05,1.85,football-data.co.uk
EPL,2022-23,06/08/2022,Newcastle,Nott'm Forest,2,0,H,1.66,3.8,5.25,1.53,4.0,6.0,1.71,3.74,5.83,1.57,4.22,6.6,1.72,3.96,6.0,1.67,3.8,5.57,2.05,1.85,football-data.co.uk
EPL,2022-23,06/08/2022,Tottenham,Southampton,4,1,H,1.33,5.5,8.5,1.36,5.0,8.5,1.37,5.39,9.11,1.39,5.34,8.55,1.4,5.5,9.2,1.36,5.27,8.64,1.61,2.3,football-data.co.uk
EPL,2022-23,06/08/2022,Everton,Chelsea,0,1,A,5.5,4.0,1.61,6.5,4.2,1.55,6.04,4.06,1.63,6.89,4.16,1.56,6.1,4.2,1.67,5.74,3.96,1.63,2.02,1.88,football-data.co.uk
EPL,2022-23,07/08/2022,Leicester,Brentford,2,2,D,2.0,3.75,3.5,1.85,3.8,4.0,2.07,3.69,3.74,1.96,3.69,4.29,2.1,3.84,3.8,2.03,3.66,3.64,1.72,2.1,football-data.co.uk
EPL,2022-23,07/08/2022,Man United,Brighton,1,2,A,1.6,4.2,5.25,1.8,3.75,4.33,1.65,4.14,5.68,1.81,3.86,4.72,1.66,4.22,6.12,1.62,4.01,5.68,1.92,1.98,football-data.co.uk
EPL,2022-23,07/08/2022,West Ham,Man City,0,2,A,8.0,5.0,1.36,7.5,5.25,1.36,8.58,5.48,1.38,8.0,5.35,1.41,9.6,5.6,1.41,8.32,5.25,1.37,1.53,2.5,football-data.co.uk
EPL,2022-23,13/08/2022,Aston Villa,Everton,2,1,H,1.8,3.5,4.75,1.75,3.5,5.0,1.83,3.55,5.12,1.81,3.64,5.11,1.85,3.68,5.12,1.82,3.56,4.87,2.1,1.72,football-data.co.uk
EPL,2022-23,13/08/2022,Arsenal,Leicester,4,2,H,1.53,4.33,5.75,1.55,4.33,5.5,1.58,4.34,6.22,1.58,4.42,5.97,1.6,4.65,6.42,1.55,4.37,6.04,1.66,2.2,football-data.co.uk
EPL,2022-23,13/08/2022,Brighton,Newcastle,0,0,D,2.45,3.2,3.0,2.37,3.3,3.0,2.48,3.24,3.22,2.5,3.3,3.14,2.54,3.46,3.27,2.44,3.25,3.1,2.1,1.72,football-data.co.uk
EPL,2022-23,13/08/2022,Man City,Bournemouth,4,0,H,1.06,13.0,29.0,1.08,12.0,21.0,1.07,13.82,41.0,1.08,13.5,36.0,1.09,16.0,50.0,1.07,12.72,37.57,1.33,3.4,football-data.co.uk
EPL,2022-23,13/08/2022,Southampton,Leeds,2,2,D,2.25,3.5,3.1,2.4,3.5,2.8,2.34,3.55,3.18,2.44,3.64,2.96,2.4,3.64,3.2,2.32,3.51,3.1,1.72,2.1,football-data.co.uk
EPL,2022-23,13/08/2022,Wolves,Fulham,0,0,D,2.3,3.3,3.2,2.2,3.4,3.3,2.44,3.24,3.29,2.23,3.48,3.5,2.48,3.46,3.29,2.4,3.28,3.15,2.1,1.72,football-data.co.uk
EPL,2022-23,13/08/2022,Brentford,Man United,4,0,H,3.75,3.5,2.0,4.5,3.75,1.75,3.82,3.64,2.06,4.65,4.09,1.78,4.04,3.65,2.08,3.77,3.56,2.02,1.8,2.0,football-data.co.uk
EPL,2022-23,14/08/2022,Nott'm Forest,West Ham,1,0,H,4.2,3.6,1.85,3.8,3.5,1.95,4.28,3.72,1.92,4.03,3.68,1.99,4.4,3.75,1.94,4.21,3.64,1.9,1.92,1.98,football-data.co.uk
EPL,2022-23,14/08/2022,Chelsea,Tottenham,2,2,D,2.25,3.4,3.2,2.1,3.5,3.5,2.28,3.52,3.35,2.17,3.53,3.61,2.38,3.55,3.36,2.29,3.44,3.21,1.98,1.92,football-data.co.uk
EPL,2022-23,15/08/2022,Liverpool,Crystal Palace,1,1,D,1.18,6.75,16.0,1.28,5.75,11.0,1.2,7.09,18.57,1.29,6.25,12.0,1.23,7.23,19.0,1.2,6.85,16.33,1.57,2.37,football-data.co.uk
EPL,2022-23,20/08/2022,Tottenham,Wolves,1,0,H,1.4,4.75,7.5,1.4,4.75,7.5,1.43,4.94,7.95,1.48,4.88,6.99,1.44,5.14,8.5,1.41,4.88,7.96,1.72,2.1,football-data.co.uk
EPL,2022-23,20/08/2022,Crystal Palace,Aston Villa,3,1,H,2.5,3.25,2.9,2.45,3.2,3.0,2.58,3.19,3.12,2.56,3.26,3.08,2.6,3.35,3.16,2.52,3.2,3.0,2.2,1.66,football-data.co.uk
EPL,2022-23,20/08/2022,Everton,Nott'm Forest,1,1,D,1.9,3.6,4.0,1.85,3.6,4.2,2.0,3.45,4.27,1.89,3.58,4.62,2.02,3.64,4.3,1.97,3.48,4.05,2.1,1.72,football-data.co.uk
EPL,2022-23,20/08/2022,Fulham,Brentford,3,2,H,2.45,3.4,2.9,2.62,3.4,2.7,2.52,3.53,2.93,2.7,3.44,2.8,2.62,3.54,3.04,2.46,3.42,2.92,1.96,1.94,football-data.co.uk
EPL,2022-23,20/08/2022,Leicester,Southampton,1,2,A,1.83,4.0,4.0,1.72,4.0,4.33,1.86,4.09,4.12,1.78,4.18,4.51,1.88,4.1,4.2,1.85,3.97,4.01,1.61,2.3,football-data.co.uk
EPL,2022-23,20/08/2022,Bournemouth,Arsenal,0,3,A,8.0,4.75,1.4,7.5,4.75,1.4,7.55,4.8,1.46,7.26,4.82,1.47,8.01,4.9,1.47,7.65,4.7,1.43,1.72,2.1,football-data.co.uk
EPL,2022-23,21/08/2022,Leeds,Chelsea,3,0,H,5.75,4.5,1.53,5.75,4.75,1.5,6.23,4.6,1.54,6.14,4.63,1.55,6.23,4.6,1.6,5.93,4.43,1.55,1.66,2.2,football-data.co.uk
EPL,2022-23,21/08/2022,West Ham,Brighton,0,2,A,2.3,3.4,3.1,2.5,3.4,2.8,2.34,3.52,3.22,2.6,3.42,2.9,2.42,3.52,3.29,2.32,3.41,3.14,1.99,1.91,football-data.co.uk
EPL,2022-23,21/08/2022,Newcastle,Man City,3,3,D,7.5,5.0,1.36,6.5,4.75,1.44,9.43,5.22,1.37,7.0,5.0,1.47,9.5,5.35,1.41,8.67,5.11,1.37,1.66,2.2,football-data.co.uk
EPL,2022-23,22/08/2022,Man United,Liverpool,2,1,H,5.25,4.33,1.6,4.75,4.2,1.66,5.39,4.35,1.64,4.65,4.5,1.7,5.6,4.7,1.65,5.22,4.38,1.6,1.5,2.62,football-data.co.uk
EPL,2022-23,27/08/2022,Southampton,Man United,0,1,A,4.2,4.0,1.8,3.4,3.8,1.95,4.31,4.0,1.85,3.65,3.95,2.02,4.5,4.35,1.85,4.27,4.06,1.8,1.57,2.37,football-data.co.uk
EPL,2022-23,27/08/2022,Brentford,Everton,1,1,D,2.0,3.5,3.75,2.05,3.3,3.8,2.1,3.49,3.84,2.08,3.51,3.91,2.16,3.58,3.92,2.06,3.47,3.77,2.06,1.84,football-data.co.uk
EPL,2022-23,27/08/2022,Brighton,Leeds,1,0,H,1.9,3.8,3.8,1.66,4.0,5.25,1.93,3.72,4.24,1.74,3.98,5.09,1.96,3.85,4.24,1.91,3.73,4.04,1.88,2.02,football-data.co.uk
EPL,2022-23,27/08/2022,Chelsea,Leicester,2,1,H,1.4,5.0,7.0,1.4,5.0,7.5,1.45,4.86,7.66,1.41,5.2,7.99,1.46,5.2,8.2,1.42,4.93,7.52,1.61,2.3,football-data.co.uk
EPL,2022-23,27/08/2022,Liverpool,Bournemouth,9,0,H,1.1,10.0,26.0,1.14,8.0,17.0,1.13,10.48,23.11,1.15,9.25,19.5,1.14,11.0,34.0,1.11,10.17,25.51,1.36,3.2,football-data.co.uk
EPL,2022-23,27/08/2022,Man City,Crystal Palace,4,2,H,1.18,7.5,13.0,1.2,7.0,15.0,1.2,7.5,16.26,1.2,7.75,16.0,1.22,8.2,18.0,1.19,7.56,15.25,1.44,2.75,football-data.co.uk
EPL,2022-23,27/08/2022,Arsenal,Fulham,2,1,H,1.3,5.75,9.0,1.4,5.5,6.5,1.33,5.83,9.75,1.42,5.35,7.5,1.36,6.1,10.0,1.32,5.77,9.44,1.5,2.62,football-data.co.uk
