date,home,away,home_score,away_score,close_h,close_d,close_a,tournament,source,imp_h,imp_d,imp_a
18 Dec 2022,Argentina,France,4,3,2.77,3.1,2.9,World Cup 2022,oddsportal,0.361,0.3226,0.3448
17 Dec 2022,Croatia,Morocco,2,1,2.25,3.6,3.2,World Cup 2022,oddsportal,0.4444,0.2778,0.3125
14 Dec 2022,France,Morocco,2,0,1.65,4.0,7.05,World Cup 2022,oddsportal,0.6061,0.25,0.1418
13 Dec 2022,Argentina,Croatia,3,0,2.06,3.3,4.75,World Cup 2022,oddsportal,0.4854,0.303,0.2105
10 Dec 2022,England,France,1,2,3.0,3.2,2.85,World Cup 2022,oddsportal,0.3333,0.3125,0.3509
,Morocco,Portugal,1,0,6.25,3.95,1.8,World Cup 2022,oddsportal,0.16,0.2532,0.5556
09 Dec 2022,Netherlands,Argentina,2,3,4.02,3.25,2.25,World Cup 2022,oddsportal,0.2488,0.3077,0.4444
,Croatia,Brazil,2,1,9.83,5.15,1.42,World Cup 2022,oddsportal,0.1017,0.1942,0.7042
06 Dec 2022,Portugal,Switzerland,6,1,1.92,3.7,4.75,World Cup 2022,oddsportal,0.5208,0.2703,0.2105
,Morocco,Spain,1,0,6.8,4.2,1.65,World Cup 2022,oddsportal,0.1471,0.2381,0.6061
05 Dec 2022,Brazil,South Korea,4,1,1.28,6.75,15.0,World Cup 2022,oddsportal,0.7812,0.1481,0.0667
,Cameroon,Serbia,3,3,5.75,3.8,1.73,World Cup 2022,oddsportal,0.1739,0.2632,0.578
,Japan,Croatia,1,2,4.1,3.4,2.15,World Cup 2022,oddsportal,0.2439,0.2941,0.4651
04 Dec 2022,England,Senegal,3,0,1.7,3.9,7.0,World Cup 2022,oddsportal,0.5882,0.2564,0.1429
,France,Poland,3,1,1.42,5.25,11.0,World Cup 2022,oddsportal,0.7042,0.1905,0.0909
03 Dec 2022,Argentina,Australia,2,1,1.3,6.4,13.0,World Cup 2022,oddsportal,0.7692,0.1562,0.0769
,Netherlands,USA,3,1,2.05,3.4,4.6,World Cup 2022,oddsportal,0.4878,0.2941,0.2174
02 Dec 2022,Cameroon,Brazil,1,0,9.5,5.5,1.4,World Cup 2022,oddsportal,0.1053,0.1818,0.7143
