team,matches,W,D,L,goals,goals_against,pts,xg,xga,xpts,league,season
Arsenal,38,26,7,5,71,27,85,77.49,33.13,79.87,EPL,2025-26
Manchester City,38,23,9,6,77,35,78,79.36,46.49,73.95,EPL,2025-26
Manchester United,38,20,11,7,69,50,71,72.19,50.28,64.45,EPL,2025-26
Aston Villa,38,19,8,11,56,49,65,56.2,56.68,51.07,EPL,2025-26
Liverpool,38,17,9,12,63,53,60,67.26,53.87,61.54,EPL,2025-26
Bournemouth,38,13,18,7,58,54,57,66.83,56.77,60.33,EPL,2025-26
Sunderland,38,14,12,12,42,48,54,43.14,60.34,42.03,EPL,2025-26
Brighton,38,14,11,13,52,46,53,58.42,53.75,55.35,EPL,2025-26
Brentford,38,14,11,13,55,52,53,66.26,59.11,57.24,EPL,2025-26
Chelsea,38,14,10,14,58,52,52,72.21,58.12,58.85,EPL,2025-26
Fulham,38,15,7,16,47,51,52,49.58,60.84,45.08,EPL,2025-26
Newcastle United,38,14,7,17,53,55,49,60.61,57.31,54.83,EPL,2025-26
Everton,38,13,10,15,47,50,49,49.87,59.99,46.17,EPL,2025-26
Leeds,38,11,14,13,49,56,47,59.77,56.33,56.5,EPL,2025-26
Crystal Palace,38,11,12,15,41,51,45,62.46,60.05,53.88,EPL,2025-26
Nottingham Forest,38,11,11,16,48,51,44,48.94,64.74,42.24,EPL,2025-26
Tottenham,38,10,11,17,48,57,41,46.8,55.59,49.25,EPL,2025-26
West Ham,38,10,9,19,46,65,39,49.64,68.12,43.49,EPL,2025-26
Burnley,38,4,10,24,38,75,22,36.94,82.58,24.31,EPL,2025-26
Wolverhampton Wanderers,38,3,11,24,27,68,20,38.44,68.3,35.44,EPL,2025-26
Barcelona,38,31,1,6,95,36,94,99.67,50.71,79.06,La_liga,2025-26
Real Madrid,38,27,5,6,77,35,86,81.49,44.99,75.93,La_liga,2025-26
Villarreal,38,22,6,10,72,46,72,68.84,53.67,63.28,La_liga,2025-26
Atletico Madrid,38,21,6,11,62,44,69,68.11,53.14,61.83,La_liga,2025-26
Real Betis,38,15,15,8,59,48,60,61.3,50.32,59.96,La_liga,2025-26
Celta Vigo,38,14,12,12,53,48,54,51.99,56.34,51.37,La_liga,2025-26
Getafe,38,15,6,17,32,38,51,33.96,48.31,42.95,La_liga,2025-26
Rayo Vallecano,38,12,14,12,41,44,50,59.98,56.34,55.9,La_liga,2025-26
Valencia,38,13,10,15,46,55,49,53.95,55.53,53.54,La_liga,2025-26
Real Sociedad,38,11,13,14,59,61,46,59.7,60.54,54.61,La_liga,2025-26
Espanyol,38,12,10,16,43,55,46,52.38,62.67,44.13,La_liga,2025-26
Athletic Club,38,13,6,19,43,58,45,55.65,47.12,56.9,La_liga,2025-26
Elche,38,10,13,15,49,57,43,48.17,68.93,41.67,La_liga,2025-26
Alaves,38,11,10,17,44,56,43,53.58,52.97,52.58,La_liga,2025-26
Sevilla,38,12,7,19,46,60,43,39.65,61.32,37.88,La_liga,2025-26
Osasuna,38,11,9,18,44,50,42,51.46,51.64,53.36,La_liga,2025-26
Mallorca,38,11,9,18,47,57,42,47.51,65.85,39.79,La_liga,2025-26
Levante,38,11,9,18,47,61,42,59.6,66.65,47.79,La_liga,2025-26
Girona,38,9,14,15,39,55,41,52.13,65.82,45.11,La_liga,2025-26
Real Oviedo,38,6,11,21,26,60,29,41.5,67.74,36.08,La_liga,2025-26
Bayern Munich,34,28,5,1,122,36,89,104.81,44.65,77.45,Bundesliga,2025-26
Borussia Dortmund,34,22,7,5,70,34,73,67.8,42.78,61.9,Bundesliga,2025-26
RasenBallsport Leipzig,34,20,5,9,66,47,65,75.18,53.48,61.33,Bundesliga,2025-26
VfB Stuttgart,34,18,8,8,71,49,62,68.33,53.45,57.67,Bundesliga,2025-26
Hoffenheim,34,18,7,9,65,52,61,63.15,54.09,54.4,Bundesliga,2025-26
Bayer Leverkusen,34,17,8,9,68,47,59,75.25,50.96,61.07,Bundesliga,2025-26
Freiburg,34,13,8,13,51,57,47,50.13,53.57,45.2,Bundesliga,2025-26
Eintracht Frankfurt,34,11,11,12,61,65,44,51.02,55.55,45.2,Bundesliga,2025-26
Augsburg,34,12,7,15,45,61,43,51.27,65.53,39.44,Bundesliga,2025-26
Mainz 05,34,10,10,14,44,53,40,63.26,61.87,50.36,Bundesliga,2025-26
Union Berlin,34,10,9,15,44,58,39,48.41,56.06,46.05,Bundesliga,2025-26
Borussia M.Gladbach,34,9,11,14,42,53,38,46.69,56.61,40.54,Bundesliga,2025-26
Hamburger SV,34,9,11,14,40,54,38,43.83,66.06,35.18,Bundesliga,2025-26
FC Cologne,34,7,11,16,49,63,32,53.83,61.85,41.12,Bundesliga,2025-26
Werder Bremen,34,8,8,18,37,60,32,42.35,61.86,37.74,Bundesliga,2025-26
Wolfsburg,34,7,8,19,45,69,29,52.58,65.13,40.7,Bundesliga,2025-26
FC Heidenheim,34,6,8,20,41,72,26,49.97,71.59,34.81,Bundesliga,2025-26
St. Pauli,34,6,8,20,29,60,26,34.03,66.81,26.31,Bundesliga,2025-26
Inter,38,27,6,5,89,35,87,87.05,35.85,82.69,Serie_A,2025-26
Napoli,38,23,7,8,58,36,76,57.76,41.63,63.46,Serie_A,2025-26
Roma,38,23,4,11,59,31,73,62.63,42.59,66.64,Serie_A,2025-26
Como,38,20,11,7,65,29,71,67.97,39.54,68.81,Serie_A,2025-26
AC Milan,38,20,10,8,53,35,70,64.81,46.12,64.46,Serie_A,2025-26
Juventus,38,19,12,7,61,34,69,74.16,36.12,75.5,Serie_A,2025-26
Atalanta,38,15,14,9,51,36,59,68.65,51.7,64.18,Serie_A,2025-26
Bologna,38,16,8,14,49,46,56,50.04,50.91,52.39,Serie_A,2025-26
Lazio,38,14,12,12,41,40,54,46.18,49.0,48.24,Serie_A,2025-26
Udinese,38,14,8,16,45,48,50,47.29,57.02,46.53,Serie_A,2025-26
Sassuolo,38,14,7,17,46,50,49,48.02,61.07,46.44,Serie_A,2025-26
Parma Calcio 1913,38,11,12,15,28,46,45,36.15,61.8,37.64,Serie_A,2025-26
Torino,38,12,9,17,44,63,45,51.55,60.36,47.42,Serie_A,2025-26
Cagliari,38,11,10,17,40,53,43,43.73,60.36,42.05,Serie_A,2025-26
Fiorentina,38,9,15,14,41,50,42,52.17,57.46,48.38,Serie_A,2025-26
