table,column,null_pct,n_unique
elo_ratings,date,0.0,126
elo_ratings,team,0.21,295
elo_ratings,elo,0.0,1554
elo_ratings,elo_change,0.0,345
fifa_rankings,date,0.0,332
fifa_rankings,team,0.0,216
fifa_rankings,ranking,0.01,211
fifa_rankings,points,0.0,4464
goalscorers,date,0.0,4725
goalscorers,home_team,0.0,220
goalscorers,away_team,0.0,220
goalscorers,team,0.0,220
goalscorers,scorer,0.1,15334
goalscorers,minute,0.54,121
goalscorers,own_goal,0.0,2
goalscorers,penalty,0.0,2
injuries,player_id,100.0,0
injuries,injury_date,100.0,0
injuries,return_date,100.0,0
injuries,injury_type,100.0,0
injuries,days_missed,100.0,0
market_values,date,0.0,1
market_values,team,0.0,48
market_values,total_value,0.0,48
market_values,avg_value,2.08,47
market_values,median_value,2.08,32
market_values,n_players,0.0,46
matches,match_id,0.0,49353
matches,date,0.0,16459
matches,competition,0.0,198
matches,stage,79.94,23
matches,home_team,0.0,327
matches,away_team,0.0,321
matches,home_score,0.15,26
matches,away_score,0.15,22
matches,neutral,0.0,2
matches,city,0.0,2139
matches,country,0.0,269
matches,venue,0.0,2139
matches,referee,100.0,0
matches,attendance,100.0,0
odds,date,100.0,0
odds,home_team,100.0,0
odds,away_team,100.0,0
odds,bookmaker,100.0,0
odds,home_odds,100.0,0
odds,draw_odds,100.0,0
odds,away_odds,100.0,0
odds,over25_odds,100.0,0
odds,under25_odds,100.0,0
player_match_stats,match_id,100.0,0
player_match_stats,player_id,100.0,0
player_match_stats,min,100.0,0
player_match_stats,gls,100.0,0
player_match_stats,ast,100.0,0
player_match_stats,xg,100.0,0
player_match_stats,npxg,100.0,0
player_match_stats,xag,100.0,0
player_match_stats,sca,100.0,0
player_match_stats,gca,100.0,0
player_match_stats,tkl,100.0,0
player_match_stats,int,100.0,0
player_tournament_stats,tournament,100.0,0
player_tournament_stats,player_id,100.0,0
player_tournament_stats,gp,100.0,0
player_tournament_stats,gls,100.0,0
player_tournament_stats,ast,100.0,0
player_tournament_stats,xg,100.0,0
player_tournament_stats,npxg,100.0,0
player_tournament_stats,xag,100.0,0
players,player_id,0.0,18127
players,name,0.0,17364
players,nationality,0.0,158
players,position,0.0,700
players,dob,0.0,6179
players,primary_club,0.49,673
players,long_name,0.0,18102
players,overall,0.0,46
players,potential,0.0,47
players,value_eur,0.53,251
players,wage_eur,0.49,132
players,age,0.0,28
players,height_cm,0.0,49
players,weight_kg,0.0,54
players,international_reputation,0.0,5
players,pace,11.25,69
players,shooting,11.25,72
players,passing,11.25,66
players,dribbling,11.25,67
players,defending,11.25,76
players,physic,11.25,61
players,nationality_norm,0.0,158
squads,tournament,0.0,1
squads,team,0.0,48
squads,player_id,0.0,12948
squads,age_at_tournament,0.0,27
squads,caps_at_tournament,100.0,0
squads,market_value,0.56,242
team_match_features,match_id,0.0,49281
team_match_features,date,0.0,16442
team_match_features,team,0.0,336
team_match_features,opponent,0.0,336
team_match_features,is_home,0.0,2
team_match_features,tournament,0.0,198
team_match_features,stage,80.06,23
team_match_features,stage_weight,0.0,6
team_match_features,rivalry,0.0,2
team_match_features,neutral,0.0,2
team_match_features,gf,0.0,26
team_match_features,ga,0.0,26
team_match_features,result,0.0,3
team_match_features,days_rest,0.34,1459
team_match_features,result_streak_in,0.0,77
team_match_features,wc_appearances_before,0.0,51
team_match_features,h2h_win_pct_l10,15.2,33
team_match_features,h2h_gf_avg_l10,15.2,268
team_match_features,win_pct_l5,0.34,11
team_match_features,win_pct_l10,0.34,33
team_match_features,win_pct_l20,0.34,127
team_match_features,gf_avg_l5,0.34,90
team_match_features,gf_avg_l10,0.34,200
team_match_features,gf_avg_l20,0.34,558
team_match_features,ga_avg_l5,0.34,139
team_match_features,ga_avg_l10,0.34,295
team_match_features,ga_avg_l20,0.34,793
team_match_features,elo,62.42,782
team_match_features,fifa_rank,45.6,211
team_match_features,fifa_points,0.0,3
team_match_stats,match_id,100.0,0
team_match_stats,team,100.0,0
team_match_stats,poss,100.0,0
team_match_stats,sh,100.0,0
team_match_stats,sot,100.0,0
team_match_stats,xg,100.0,0
team_match_stats,npxg,100.0,0
team_match_stats,sca,100.0,0
team_match_stats,gca,100.0,0
team_match_stats,tkl,100.0,0
team_match_stats,int,100.0,0
team_match_stats,touches,100.0,0
team_match_stats,passes_cmp,100.0,0
venues,venue_id,0.0,16
venues,name,0.0,16
venues,city,6.25,15
venues,country,6.25,3
venues,lat,6.25,15
venues,lng,6.25,15
venues,altitude_m,6.25,14
wc2026_fixtures,MatchNumber,0.0,104
wc2026_fixtures,RoundNumber,0.0,8
wc2026_fixtures,DateUtc,0.0,92
wc2026_fixtures,Location,0.0,16
wc2026_fixtures,HomeTeam,0.0,65
wc2026_fixtures,AwayTeam,0.0,65
wc2026_fixtures,Group,30.77,12
wc2026_fixtures,HomeTeamScore,100.0,0
wc2026_fixtures,AwayTeamScore,100.0,0
wc2026_qualified_teams,team,0.0,49
wc2026_qualified_teams,group,2.04,12
wc2026_qualified_teams,tournament,0.0,1
wc_matches_history,year,0.0,21
wc_matches_history,country,0.0,17
wc_matches_history,city,0.0,161
wc_matches_history,stage,0.0,22
wc_matches_history,home_team,0.0,81
wc_matches_history,away_team,0.0,82
wc_matches_history,home_score,0.0,11
wc_matches_history,away_score,0.0,9
wc_matches_history,outcome,0.0,3
wc_matches_history,win_conditions,93.11,48
wc_matches_history,winning_team,18.78,66
wc_matches_history,losing_team,18.78,85
wc_matches_history,date,0.0,355
wc_matches_history,month,0.0,3
wc_matches_history,dayofweek,0.0,7
wc_tournaments,year,0.0,21
wc_tournaments,host,0.0,16
wc_tournaments,winner,0.0,9
wc_tournaments,second,0.0,11
wc_tournaments,third,0.0,15
wc_tournaments,fourth,0.0,16
wc_tournaments,goals_scored,0.0,18
wc_tournaments,teams,0.0,5
wc_tournaments,games,0.0,9
wc_tournaments,attendance,0.0,21
