2026-06-02 17:53:08,926 | INFO    | s01_kaggle         | downloading martj42/international-football-results-from-1872-to-2017 -- all intl results+goalscorers+shootouts
2026-06-02 17:53:11,935 | INFO    | s01_kaggle         |   -> 4 files: ['former_names.csv', 'goalscorers.csv', 'results.csv', 'shootouts.csv']
2026-06-02 17:53:11,945 | INFO    | s01_kaggle         | downloading patateriedata/all-international-football-results -- intl results kept current
2026-06-02 17:53:14,675 | INFO    | s01_kaggle         |   -> 2 files: ['all_matches.csv', 'countries_names.csv']
2026-06-02 17:53:14,683 | INFO    | s01_kaggle         | downloading abhijitdahatonde/fifa-world-cup-all-dataset -- WC matches/squads/goals
2026-06-02 17:53:17,044 | INFO    | s01_kaggle         |   -> 4 files: ['2022_world_cup_matches1.csv', 'international_matches1.csv', 'world_cups1.csv', 'world_cup_matches1.csv']
2026-06-02 17:53:17,051 | INFO    | s01_kaggle         | downloading evangower/fifa-world-cup -- WC matches + tournaments
2026-06-02 17:53:19,182 | INFO    | s01_kaggle         |   -> 2 files: ['wcmatches.csv', 'worldcups.csv']
2026-06-02 17:53:19,190 | INFO    | s01_kaggle         | downloading stefanoleone992/fifa-23-complete-player-dataset -- FIFA 23 player ratings (attrs proxy)
2026-06-02 17:58:02,003 | INFO    | s02_elo            | 1901: 4 teams
2026-06-02 17:58:03,634 | INFO    | s02_elo            | 1902: 8 teams
2026-06-02 17:58:05,465 | INFO    | s02_elo            | 1903: 9 teams
2026-06-02 17:58:07,548 | INFO    | s02_elo            | 1904: 11 teams
2026-06-02 17:58:09,265 | INFO    | s02_elo            | 1905: 15 teams
2026-06-02 17:58:11,507 | INFO    | s02_elo            | 1906: 16 teams
2026-06-02 17:58:13,477 | INFO    | s02_elo            | 1907: 16 teams
2026-06-02 17:58:15,588 | INFO    | s02_elo            | 1908: 20 teams
2026-06-02 17:58:17,497 | INFO    | s02_elo            | 1909: 20 teams
2026-06-02 17:58:19,278 | INFO    | s02_elo            | 1910: 22 teams
2026-06-02 17:58:21,554 | INFO    | s02_elo            | 1911: 24 teams
2026-06-02 17:58:23,364 | INFO    | s01_kaggle         |   -> 8 files: ['female_coaches.csv', 'female_players (legacy).csv', 'female_players.csv', 'female_teams.csv', 'male_coaches.csv', 'male_players (legacy).csv', 'male_players.csv', 'male_teams.csv']
2026-06-02 17:58:23,378 | INFO    | s01_kaggle         | downloading stefanoleone992/fifa-22-complete-player-dataset -- FIFA 22 player ratings
2026-06-02 17:58:23,510 | INFO    | s02_elo            | 1912: 25 teams
2026-06-02 17:58:25,244 | INFO    | s02_elo            | 1913: 27 teams
2026-06-02 17:58:27,094 | INFO    | s02_elo            | 1914: 28 teams
2026-06-02 17:58:29,234 | INFO    | s02_elo            | 1915: 29 teams
2026-06-02 17:58:31,387 | INFO    | s02_elo            | 1916: 30 teams
2026-06-02 17:58:33,173 | INFO    | s02_elo            | 1917: 31 teams
2026-06-02 17:58:35,363 | INFO    | s02_elo            | 1918: 31 teams
2026-06-02 17:58:37,436 | INFO    | s02_elo            | 1919: 32 teams
2026-06-02 17:58:39,290 | INFO    | s02_elo            | 1920: 37 teams
2026-06-02 17:58:40,147 | INFO    | s01_kaggle         |   -> 17 files: ['Career Mode female player datasets - FIFA 16-22.xlsx', 'Career Mode player datasets - FIFA 15-22.xlsx', 'female_players_16.csv', 'female_players_17.csv', 'female_players_18.csv', 'female_players_19.csv', 'female_players_20.csv', 'female_players_21.csv']...
2026-06-02 17:58:40,159 | INFO    | s01_kaggle         | downloading cashncarry/fifa-worldcup-2026-qualified-teams -- WC2026 qualified teams (if present)
