ts,source,status,rows,url,note
2026-06-02T12:23:11.935878+00:00,kaggle,ok,4,martj42/international-football-results-from-1872-to-2017,all intl results+goalscorers+shootouts
2026-06-02T12:23:14.676456+00:00,kaggle,ok,2,patateriedata/all-international-football-results,intl results kept current
2026-06-02T12:23:17.045316+00:00,kaggle,ok,4,abhijitdahatonde/fifa-world-cup-all-dataset,WC matches/squads/goals
2026-06-02T12:23:19.182710+00:00,kaggle,ok,2,evangower/fifa-world-cup,WC matches + tournaments
2026-06-02T12:28:02.002995+00:00,elo,ok,4,https://www.eloratings.net/1901.tsv,
2026-06-02T12:28:03.634127+00:00,elo,ok,8,https://www.eloratings.net/1902.tsv,
2026-06-02T12:28:05.465475+00:00,elo,ok,9,https://www.eloratings.net/1903.tsv,
2026-06-02T12:28:07.547857+00:00,elo,ok,11,https://www.eloratings.net/1904.tsv,
2026-06-02T12:28:09.265755+00:00,elo,ok,15,https://www.eloratings.net/1905.tsv,
2026-06-02T12:28:11.506593+00:00,elo,ok,16,https://www.eloratings.net/1906.tsv,
2026-06-02T12:28:13.477351+00:00,elo,ok,16,https://www.eloratings.net/1907.tsv,
2026-06-02T12:28:15.588012+00:00,elo,ok,20,https://www.eloratings.net/1908.tsv,
2026-06-02T12:28:17.497402+00:00,elo,ok,20,https://www.eloratings.net/1909.tsv,
2026-06-02T12:28:19.277734+00:00,elo,ok,22,https://www.eloratings.net/1910.tsv,
2026-06-02T12:28:21.554671+00:00,elo,ok,24,https://www.eloratings.net/1911.tsv,
2026-06-02T12:28:23.364929+00:00,kaggle,ok,8,stefanoleone992/fifa-23-complete-player-dataset,FIFA 23 player ratings (attrs proxy)
2026-06-02T12:28:23.509866+00:00,elo,ok,25,https://www.eloratings.net/1912.tsv,
2026-06-02T12:28:25.244419+00:00,elo,ok,27,https://www.eloratings.net/1913.tsv,
2026-06-02T12:28:27.094698+00:00,elo,ok,28,https://www.eloratings.net/1914.tsv,
2026-06-02T12:28:29.234339+00:00,elo,ok,29,https://www.eloratings.net/1915.tsv,
2026-06-02T12:28:31.387683+00:00,elo,ok,30,https://www.eloratings.net/1916.tsv,
2026-06-02T12:28:33.173107+00:00,elo,ok,31,https://www.eloratings.net/1917.tsv,
2026-06-02T12:28:35.362703+00:00,elo,ok,31,https://www.eloratings.net/1918.tsv,
2026-06-02T12:28:37.435881+00:00,elo,ok,32,https://www.eloratings.net/1919.tsv,
