table,rows,cols,date_col,date_min,date_max
elo_ratings,18142,4,date,1901-12-31,2026-06-02
fifa_rankings,67261,4,date,1992-12-31,2024-04-04
goalscorers,47601,8,date,1916-07-02,2026-03-31
injuries,0,5,,,
market_values,48,6,date,2022-09-01,2022-09-01
matches,49353,14,date,1872-11-30,2026-06-27
odds,0,9,date,,
player_match_stats,0,12,,,
player_tournament_stats,0,8,,,
players,18127,22,,,
squads,12948,6,,,
team_match_features,98562,30,date,1872-11-30,2026-05-31
team_match_stats,0,13,,,
venues,16,7,,,
wc2026_fixtures,104,9,,,
wc2026_qualified_teams,49,3,,,
wc_matches_history,900,15,date,1930-07-13,2018-07-15
wc_tournaments,21,10,,,
