player_id,name,long_name,position,nationality,dob,primary_club,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,international_reputation,pace,shooting,passing,dribbling,defending,physic,nationality_norm,group
204485,R. Mahrez,Riyad Mahrez,"RW, RM",Algeria,1991-02-21,Manchester City,85,85,44500000.0,200000.0,31,179,67,3,80.0,81.0,81.0,89.0,38.0,60.0,Algeria,Group J
226754,I. Bennacer,Ismaël Bennacer,"CDM, CM",Algeria,1997-12-01,Milan,82,86,40000000.0,63000.0,24,175,70,2,77.0,68.0,80.0,86.0,77.0,76.0,Algeria,Group J
193983,A. Delort,Andy Delort,ST,Algeria,1991-10-09,Nice,80,80,20500000.0,55000.0,30,181,83,2,82.0,81.0,72.0,75.0,37.0,82.0,Algeria,Group J
224196,R. Bensebaini,Ramy Bensebaini,"LB, CB",Algeria,1995-04-16,Borussia Mönchengladbach,80,81,22000000.0,33000.0,27,187,85,2,76.0,70.0,72.0,77.0,78.0,79.0,Algeria,Group J
210372,R. Ghezzal,Rachid Ghezzal,"RW, RM, CAM",Algeria,1992-05-09,Beşiktaş,79,79,17000000.0,61000.0,30,182,70,2,72.0,72.0,82.0,81.0,28.0,60.0,Algeria,Group J
220621,S. Benrahma,Mohamed Saïd Benrahma,"LM, CAM",Algeria,1995-08-10,West Ham United,78,78,15500000.0,66000.0,26,172,67,1,75.0,73.0,75.0,82.0,40.0,57.0,Algeria,Group J
201143,A. Mandi,Aïssa Mandi,"CB, RB",Algeria,1991-10-22,Villarreal,76,76,6000000.0,27000.0,30,184,78,1,62.0,46.0,71.0,68.0,77.0,73.0,Algeria,Group J
240754,Y. Atal,Youcef Atal,"RB, RM, RWB",Algeria,1996-05-17,Nice,76,79,9000000.0,35000.0,26,175,66,2,88.0,67.0,71.0,79.0,70.0,68.0,Algeria,Group J
241167,Y. Belaïli,Mohamed Youcef Belaïli,"LM, CAM",Algeria,1992-03-14,Ajaccio,76,76,7000000.0,20000.0,30,178,75,1,79.0,74.0,72.0,79.0,26.0,68.0,Algeria,Group J
217699,I. Slimani,Islam Slimani,ST,Algeria,1988-06-18,Brest,75,75,2700000.0,24000.0,34,188,83,3,44.0,76.0,72.0,69.0,47.0,80.0,Algeria,Group J
253157,H. Boudaoui,Hicham Boudaoui,"RM, CM",Algeria,1999-09-23,Nice,75,81,9000000.0,31000.0,22,175,61,1,74.0,65.0,71.0,77.0,72.0,71.0,Algeria,Group J
223139,A. Zedadka,Akim Zedadka,RB,Algeria,1995-05-30,Auxerre,74,75,4400000.0,24000.0,27,173,72,1,81.0,55.0,65.0,73.0,67.0,65.0,Algeria,Group J
224444,H. Belkebla,Haris Belkebla,"CDM, CM",Algeria,1994-01-28,Brest,74,75,4100000.0,20000.0,28,177,68,1,55.0,49.0,71.0,70.0,69.0,73.0,Algeria,Group J
231242,A. Ounas,Adam Mohamed Ounas,"RW, ST, RM",Algeria,1996-11-11,Lille,74,75,5000000.0,28000.0,25,172,65,1,83.0,66.0,70.0,79.0,44.0,63.0,Algeria,Group J
252383,R. Zerrouki,Ramiz Larbi Zerrouki,"CM, CDM",Algeria,1998-05-26,FC Twente,74,80,6500000.0,11000.0,24,183,72,1,68.0,64.0,71.0,73.0,67.0,78.0,Algeria,Group J
205295,H. Soudani,Hillel El Arbi Soudani,"RW, LW, ST",Algeria,1987-11-25,Dhamk,73,73,1400000.0,19000.0,34,182,75,1,74.0,72.0,70.0,74.0,43.0,75.0,Algeria,Group J
213296,N. Bentaleb,Nabil Bentaleb,"CDM, CM",Algeria,1994-11-24,Angers SCO,73,74,3100000.0,17000.0,27,187,78,2,54.0,71.0,73.0,78.0,67.0,73.0,Algeria,Group J
251511,M. Zeghba,Moustapha Zeghba,GK,Algeria,1990-11-21,Dhamk,73,73,1600000.0,13000.0,31,190,85,1,,,,,,,Algeria,Group J
257118,I. Kebbal,Ilan Kais Kebbal,"RW, ST, RM",Algeria,1998-07-10,Paris,73,79,4800000.0,18000.0,23,169,60,1,77.0,66.0,71.0,79.0,24.0,53.0,Algeria,Group J
176772,A. Oukidja,Alexandre Roger Oukidja,GK,Algeria,1988-07-19,Metz,72,72,750000.0,5000.0,33,184,80,2,,,,,,,Algeria,Group J
226356,M. Fares,Mohamed Salim Fares,"LW, LM",Algeria,1996-02-15,Lazio,72,73,2800000.0,33000.0,26,183,72,1,75.0,63.0,67.0,75.0,67.0,68.0,Algeria,Group J
262925,A. Zorgane,Adem Zorgane,"CM, CDM",Algeria,2000-01-06,Sporting Charleroi,72,78,3700000.0,10000.0,22,184,81,1,60.0,69.0,70.0,70.0,66.0,80.0,Algeria,Group J
263893,A. Sâyoud,Amir Sâyoud,"RM, CAM, CF",Algeria,1990-09-30,Al Tai,72,72,1900000.0,16000.0,31,171,64,1,72.0,69.0,73.0,71.0,32.0,61.0,Algeria,Group J
206436,Y. Benzia,Yassine Benzia,"CAM, CM",Algeria,1994-09-08,Dijon,71,71,2000000.0,6000.0,27,179,77,2,66.0,69.0,70.0,73.0,45.0,61.0,Algeria,Group J
222515,Z. Ferhat,Zinedine Ferhat,"LM, RM",Algeria,1993-03-01,Alanyaspor,71,71,1800000.0,14000.0,29,180,70,2,79.0,63.0,69.0,71.0,31.0,68.0,Algeria,Group J
235499,D. Benlamri,Djamel Eddine Benlamri,CB,Algeria,1989-12-25,Al Khaleej,71,71,1200000.0,9000.0,32,190,83,1,53.0,35.0,51.0,49.0,70.0,81.0,Algeria,Group J
254895,F. Chafaï,Farouk Chafaï,CB,Algeria,1990-06-23,Dhamk,71,71,1200000.0,13000.0,32,182,76,1,41.0,44.0,46.0,46.0,72.0,82.0,Algeria,Group J
220833,A. Mandrea,Anthony Mandrea,GK,Algeria,1996-12-25,Caen,70,75,1900000.0,3000.0,25,186,78,1,,,,,,,Algeria,Group J
255487,S. Bendebka,Sofiane Bendebka,"CAM, CM",Algeria,1992-08-09,Al Fateh,70,70,1600000.0,17000.0,29,185,74,1,74.0,66.0,66.0,71.0,58.0,72.0,Algeria,Group J
211240,J. Lopez,Julien Yves Rémi López Baila,"CAM, LM, LW",Algeria,1992-03-01,Paris,69,69,1300000.0,5000.0,30,173,68,1,81.0,64.0,67.0,72.0,42.0,60.0,Algeria,Group J
240660,M. Léris,Mehdi Pascal Marcel Léris,"CM, RM",Algeria,1998-05-23,Sampdoria,69,75,2200000.0,8000.0,24,186,78,1,50.0,64.0,65.0,67.0,61.0,71.0,Algeria,Group J
261737,A. Bedrane,Abdelkader Bedrane,CB,Algeria,1992-04-02,Dhamk,69,69,1100000.0,9000.0,30,188,80,1,61.0,30.0,51.0,53.0,69.0,70.0,Algeria,Group J
207745,M. Zeffane,Mehdi Zeffane,"RB, LB",Algeria,1992-05-19,Clermont,68,68,1000000.0,7000.0,30,176,71,1,72.0,61.0,65.0,66.0,64.0,66.0,Algeria,Group J
213841,V. Lekhal,Victor Lekhal,"CDM, CM",Algeria,1994-02-27,Le Havre,68,69,1200000.0,3000.0,28,187,72,1,75.0,52.0,60.0,63.0,65.0,78.0,Algeria,Group J
236535,A. Touba,Ahmed Touba,CB,Algeria,1998-03-13,İstanbul Başakşehir,68,73,1600000.0,11000.0,24,184,81,1,80.0,53.0,63.0,65.0,66.0,78.0,Algeria,Group J
263562,H. Ghacha,Houssam Eddine Ghacha,"RW, RM",Algeria,1995-10-25,Antalyaspor,68,68,1300000.0,11000.0,26,170,67,1,77.0,61.0,64.0,74.0,31.0,52.0,Algeria,Group J
264201,A. Kadri,Abdelkahar Kadri,"CAM, CM",Algeria,2000-06-24,Kortrijk,68,77,2700000.0,6000.0,22,170,69,1,73.0,64.0,66.0,73.0,58.0,56.0,Algeria,Group J
270825,N. Benbouali,Nadhir Benbouali,ST,Algeria,2000-04-17,Sporting Charleroi,68,75,2500000.0,6000.0,22,190,85,1,68.0,67.0,57.0,61.0,24.0,72.0,Algeria,Group J
204895,B. Omrani,Abdel Slem Billel Omrani,"RW, ST, LW",Algeria,1993-07-02,FCSB,67,67,1000000.0,7000.0,28,187,92,1,69.0,64.0,67.0,67.0,33.0,74.0,Algeria,Group J
