rank,feature,corr_goaldiff,mutual_info,missing_pct,variance,leakage_risk,signal_score
1,net_rating_diff,0.4668,0.07422,0.61,3.0477,Low (pre-match),1.0
2,defense_rating_diff,0.4566,0.06728,0.61,1.3161,Low (pre-match),0.9551282051282051
3,h2h_goal_diff,0.4117,0.07368,15.2,3.7935,Low (pre-match),0.9487179487179487
4,goals_against_diff,-0.4566,0.0649,0.61,1.3161,Low (pre-match),0.9166666666666667
5,form_diff_last_20,0.3957,0.06557,0.61,0.0523,Low (pre-match),0.9102564102564104
6,fifa_rank_diff,0.3436,0.06542,50.64,2904.083,Low (pre-match),0.8461538461538461
7,h2h_win_pct_diff,0.3609,0.06405,15.2,0.3637,Low (pre-match),0.8461538461538461
8,netrating_x_homefield,0.3713,0.05776,0.61,2.0466,Low (pre-match),0.8461538461538461
9,form_diff_last_10,0.3494,0.04842,0.61,0.0739,Low (pre-match),0.7948717948717949
10,attack_rating_diff,0.318,0.0411,0.61,0.8366,Low (pre-match),0.7243589743589743
11,wc_experience_diff,0.2754,0.04809,0.0,86.3845,Low (pre-match),0.717948717948718
12,goals_for_diff,0.318,0.03872,0.61,0.8366,Low (pre-match),0.7115384615384615
13,form_diff_last_5,0.297,0.03403,0.61,0.1185,Low (pre-match),0.6794871794871795
14,pedigree_diff,0.175,0.0277,0.0,140.7923,Low (pre-match),0.6282051282051282
15,fifa_rank_away,0.2,0.02221,45.63,2887.9638,Low (pre-match),0.6282051282051282
16,fifa_rank_ratio,0.1356,0.05667,50.64,38.7277,Low (pre-match),0.6153846153846154
17,rankratio_x_formdiff10,0.1102,0.0431,50.64,10.3643,Low (pre-match),0.5641025641025641
18,elo_diff,0.1629,0.02214,77.16,43355.6271,Low (pre-match),0.5576923076923077
19,elo_expected_home,0.1598,0.02201,77.16,0.0549,Low (pre-match),0.5128205128205128
20,relative_strength,0.1629,0.01519,77.16,43355.6271,Low (pre-match),0.49358974358974356
21,fifa_rank_home,-0.1477,0.01894,45.57,2830.5556,Low (pre-match),0.48717948717948717
22,strength_ratio,0.1627,0.01666,77.16,0.0149,Low (pre-match),0.48717948717948717
23,elo_away,-0.1016,0.02219,60.73,32338.8262,Low (pre-match),0.47435897435897434
24,streak_diff,-0.1644,0.00358,0.0,10.7541,Low (pre-match),0.44871794871794873
25,elo_diff_x_homefield,0.1413,0.01436,77.16,32206.7026,Low (pre-match),0.42307692307692313
26,elo_home,0.0802,0.01889,59.13,33459.0991,Low (pre-match),0.41025641025641024
27,pedigree_x_stage,0.0757,0.01158,0.0,74.1699,Low (pre-match),0.34615384615384615
28,home_field,0.0681,0.00628,0.0,0.1942,Low (pre-match),0.3141025641025641
29,elo_diff_x_stage,0.0618,0.00367,77.16,12917.7885,Low (pre-match),0.28205128205128205
30,days_rest_diff,-0.0513,0.00294,0.61,182445.3991,Low (pre-match),0.23076923076923078
31,upset_proxy,-0.0136,0.00335,77.16,0.0155,Low (pre-match),0.20512820512820512
32,neutral_flag,-0.0681,0.0,0.0,0.1942,Low (pre-match),0.17307692307692307
33,goal_trend_diff,0.0462,0.00013,0.61,0.7134,Low (pre-match),0.16025641025641024
34,formdiff10_x_elodiff,0.0106,0.00152,77.16,4177.9074,Low (pre-match),0.14102564102564102
35,elo_trend_diff,0.0041,0.00219,77.47,2887.6395,Low (pre-match),0.14102564102564102
36,restdiff_x_stage,-0.0271,0.0,0.61,5567.6939,Low (pre-match),0.11538461538461539
37,rivalry_flag,-0.0011,0.00021,0.0,0.0206,Low (pre-match),0.10256410256410256
38,stage_weight,0.0113,0.0,0.0,0.198,Low (pre-match),0.08974358974358973
39,rank_trend_diff,0.0009,0.00013,51.89,276.7147,Low (pre-match),0.07051282051282051
