match_number,round,date_utc,group,location,home_team,away_team,home_team_id,away_team_id,home_elo,away_elo,home_fifa_rank,away_fifa_rank,home_attack,home_defense,away_attack,away_defense,elo_diff,elo_expected_home,host_home,neutral
1,1,2026-06-11 19:00:00Z,Group A,Mexico City Stadium,Mexico,South Africa,334.0,468.0,1835.0,1550.0,14.0,59.0,1.1,0.8,1.5,1.1,285.0,0.8376154583713974,1,0
2,1,2026-06-12 02:00:00Z,Group A,Guadalajara Stadium,Korea Republic,Czechia,267.0,125.0,,,,,1.5,1.2,1.8,1.2,,,0,1
3,1,2026-06-12 19:00:00Z,Group B,Toronto Stadium,Canada,Bosnia and Herzegovina,97.0,72.0,1802.0,1572.0,49.0,74.0,1.2,0.5,2.1,1.1,230.0,0.7898441797581306,1,0
4,1,2026-06-13 01:00:00Z,Group D,Los Angeles Stadium,USA,Paraguay,525.0,392.0,,1833.0,,56.0,1.7,1.6,1.1,1.0,,,1,0
8,1,2026-06-13 19:00:00Z,Group B,San Francisco Bay Area Stadium,Qatar,Switzerland,400.0,481.0,1425.0,1897.0,34.0,19.0,0.9,1.9,2.5,0.8,-472.0,0.06197471592535801,0,1
7,1,2026-06-13 22:00:00Z,Group C,New York/New Jersey Stadium,Brazil,Morocco,74.0,341.0,1978.0,1840.0,5.0,13.0,1.8,0.8,1.8,0.5,138.0,0.6887735686687132,0,1
5,1,2026-06-14 01:00:00Z,Group C,Boston Stadium,Haiti,Scotland,220.0,452.0,1542.0,,90.0,39.0,1.1,1.1,1.8,1.2,,,0,1
6,1,2026-06-14 04:00:00Z,Group D,BC Place Vancouver,Australia,Türkiye,33.0,520.0,1774.0,,24.0,40.0,1.5,0.9,2.3,1.4,,,0,1
10,1,2026-06-14 17:00:00Z,Group E,Houston Stadium,Germany,Curaçao,201.0,123.0,1910.0,1466.0,16.0,,2.3,1.1,1.6,1.3,444.0,0.9279668414961574,0,1
11,1,2026-06-14 20:00:00Z,Group F,Dallas Stadium,Netherlands,Japan,358.0,243.0,1959.0,1878.0,7.0,18.0,3.2,0.8,1.8,0.7,81.0,0.6145013610085578,0,1
9,1,2026-06-14 23:00:00Z,Group E,Philadelphia Stadium,Côte d'Ivoire,Ecuador,127.0,152.0,,1933.0,,31.0,2.6,0.7,0.7,0.4,,,0,1
12,1,2026-06-15 02:00:00Z,Group F,Monterrey Stadium,Sweden,Tunisia,480.0,515.0,1660.0,1615.0,27.0,41.0,1.8,1.7,1.7,1.2,45.0,0.5644004902404213,0,1
14,1,2026-06-15 16:00:00Z,Group H,Atlanta Stadium,Spain,Cabo Verde,472.0,94.0,2172.0,,8.0,,3.4,1.1,1.7,1.0,,,0,1
16,1,2026-06-15 19:00:00Z,Group G,Seattle Stadium,Belgium,Egypt,64.0,153.0,1849.0,1622.0,3.0,37.0,3.7,0.9,1.3,0.8,227.0,0.7869632793894692,0,1
13,1,2026-06-15 22:00:00Z,Group H,Miami Stadium,Saudi Arabia,Uruguay,450.0,533.0,1592.0,1890.0,53.0,15.0,0.9,1.3,1.0,0.9,-298.0,0.15246127600415,0,1
15,1,2026-06-16 01:00:00Z,Group G,Los Angeles Stadium,IR Iran,New Zealand,229.0,361.0,,1585.0,,104.0,1.6,0.7,0.8,1.4,,,0,1
