team,gk_overall,def_overall,mid_overall,att_overall,squad_overall,top3_att_mean,squad_caps_total
Algeria,56.5,53.7,54.6,52.8,54.13913043478261,50.0,724.0
Argentina,73.1,56.6,60.1,57.4,59.76538461538462,62.333333333333336,1216.0
Australia,61.3,48.5,51.3,47.3,51.116666666666674,44.666666666666664,711.0
Austria,57.5,54.8,52.3,56.9,53.891999999999996,57.5,990.0
Belgium,67.2,54.7,60.5,54.6,58.504000000000005,48.333333333333336,1049.0
Bosnia and Herzegovina,57.1,50.2,48.5,50.8,50.744,55.666666666666664,571.0
Brazil,67.1,55.2,59.0,56.7,58.23461538461539,61.666666666666664,890.0
Cabo Verde,45.3,47.3,49.6,46.7,47.952,48.333333333333336,787.0
Canada,50.9,50.3,48.4,49.0,49.287499999999994,50.333333333333336,925.0
Colombia,59.6,53.2,53.7,56.7,54.611538461538466,57.333333333333336,1000.0
Congo DR,64.6,50.0,49.4,49.2,50.19130434782609,50.666666666666664,736.0
Croatia,57.9,55.2,57.3,53.9,56.24,56.666666666666664,1123.0
Curaçao,56.8,47.6,47.8,46.6,47.85833333333333,44.0,574.0
Czechia,62.6,52.4,52.4,50.5,53.35833333333333,56.0,697.0
Côte d'Ivoire,59.9,52.9,54.4,51.1,53.86923076923077,50.333333333333336,667.0
Ecuador,61.9,51.1,51.8,49.4,52.22307692307693,50.333333333333336,746.0
Egypt,54.2,47.4,51.3,53.6,51.02916666666667,48.666666666666664,800.0
England,71.6,55.1,59.2,58.5,59.18076923076923,66.33333333333333,800.0
France,66.5,53.7,60.0,62.0,58.95384615384615,67.66666666666667,766.0
Germany,69.7,60.5,60.8,53.6,60.332,49.666666666666664,822.0
Ghana,51.6,49.0,50.5,49.0,49.55217391304348,47.666666666666664,541.0
Haiti,46.2,49.0,47.3,46.3,47.417391304347824,48.666666666666664,580.0
IR Iran,56.8,51.9,50.9,50.2,51.18461538461539,56.0,1083.0
Iraq,57.4,48.0,47.4,46.2,47.43749999999999,47.0,726.0
Japan,64.5,51.1,55.4,50.5,53.26666666666667,54.333333333333336,777.0
Jordan,53.0,44.6,47.6,49.4,47.400000000000006,36.0,854.0
Korea Republic,52.5,50.1,53.2,47.5,51.407692307692315,51.0,935.0
Mexico,52.3,50.7,52.1,51.1,51.548,53.333333333333336,1198.0
Morocco,51.5,51.4,54.3,51.1,52.56666666666667,45.666666666666664,664.0
Netherlands,70.8,53.2,56.9,52.2,56.10000000000001,49.666666666666664,827.0
New Zealand,50.3,46.9,48.4,46.3,47.812,45.666666666666664,785.0
Norway,57.1,50.6,54.9,56.0,53.96153846153846,60.666666666666664,765.0
Panama,43.7,49.6,50.5,50.1,49.2888888888889,50.666666666666664,1545.0
Paraguay,60.2,52.4,51.0,49.1,51.803999999999995,51.333333333333336,665.0
Portugal,66.7,56.2,58.8,58.1,59.11481481481482,60.666666666666664,1122.0
Qatar,49.2,45.7,47.6,48.4,47.295,41.666666666666664,1417.0
Saudi Arabia,48.5,48.1,50.3,49.9,49.26923076923077,49.666666666666664,774.0
Scotland,57.4,49.6,53.2,49.4,50.989999999999995,55.666666666666664,936.0
Senegal,61.3,50.6,54.8,53.3,54.37999999999999,54.0,961.0
South Africa,57.3,48.1,49.8,47.9,49.792,44.333333333333336,470.0
Spain,79.2,56.7,59.6,57.5,60.869230769230775,49.333333333333336,708.0
Sweden,56.5,49.5,52.8,53.6,52.611999999999995,59.0,486.0
Switzerland,61.3,52.6,54.7,49.9,54.24400000000001,49.0,1110.0
Tunisia,50.6,49.6,50.0,48.7,49.62857142857143,47.333333333333336,554.0
Türkiye,64.2,51.2,57.9,55.6,55.05833333333334,55.333333333333336,945.0
USA,53.3,50.4,54.5,52.1,52.73076923076923,52.666666666666664,935.0
Uruguay,60.1,52.3,54.7,52.2,54.2,53.666666666666664,923.0
Uzbekistan,43.4,49.2,49.5,50.7,48.976190476190474,48.333333333333336,976.0
